Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff
G-CBP2,AP21,tawa,-122.42682678938668,47.1883010270148,0,0,0,0,1,0,43,4,0,15,0,0,0,0,0,8,0,0,0,30,0,0,0,10,1,22.253863766456778,NA
G-CLP3,OC20,tawa,-122.51054008250264,47.24624781414887,0,0,0,0,2,0,0,12,2,125,0,0,0,0,33,0,0,0,0,1,0,0,0,10,0.9726315789473684,22.18494131119381,8
G-FP1,AP21,tawa,-122.48001311823172,47.24660376310076,0,0,0,0,5,0,55,0,0,244,0,0,0,0,6,21,0,0,0,2,0,0,0,10,0.9178947368421052,22.881020642201836,8.978947368421053
G-IP,AP21,tawa,-122.46304982780435,47.235659943921206,0,0,0,0,3,0,16,6,0,30,0,0,0,0,22,17,0,0,0,0,0,0,0,10,0.783157894736842,22.918075050128913,10
G-JP,AP21,tawa,-122.48980021466647,47.25733785038378,0,0,0,0,0,0,2,64,0,367,0,0,0,0,0,16,0,0,0,1,0,0,0,10,0.9412997903563941,22.872133027522935,3.7819706498951806
G-KP2,JA21,tawa,-122.50799150845162,47.269061297727504,0,0,0,0,2,0,236,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0.95625,22.960401721664272,5.158333333333335
G-SB,JU21,tawa,-122.52996962188313,47.298191196125245,0,0,0,0,2,64,0,0,6,22,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0.9432773109243697,9.008890163464205,6
G-SERA,AP21,tawa,-122.49118989961514,47.20279106036013,0,0,0,0,38,0,0,25,0,16,0,0,0,0,94,1,0,0,0,0,0,0,0,10,0.94375,22.557752937804562,10
G-TNC2,AP21,tawa,-122.49030793253216,47.240324138072616,0,0,0,0,9,177,0,0,0,113,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0.9978813559322034,21.75567039908124,8
G-VP,AP21,tawa,-122.5200102255112,47.27992829292994,0,0,0,0,16,1,1,249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.9958419958419958,17.99426276534703,4
G-WLP2,AP21,tawa,-122.47154011345285,47.177650308061786,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,8,0,0,0,30,0,0,0,10,0.9704641350210971,22.31260744985674,10
P-BLP,AP21,tawa,-122.28283031300816,47.16168229763593,0,0,0,0,5,1,0,14,4,67,0,0,0,0,0,1,0,0,0,9,0,0,0,10,0.9012605042016807,19.862880091795724,8
P-CCP,AP21,tawa,-122.32022008391868,47.18141910672656,0,0,0,0,5,2,0,19,0,16,0,0,0,0,107,46,0,0,17,1,2,0,0,10,1,17.386357122384624,7
P-CUP,AP21,tawa,-122.471320086731,47.27295174449351,0,0,0,0,15,17,7,15,0,0,0,0,0,0,0,61,0,0,0,14,0,0,0,10,1,17.743150684931418,2
P-DPV,AP21,tawa,-122.5436402745423,47.3165085016772,0,0,0,0,5,35,0,2,2,7,0,0,0,0,0,7,0,0,0,0,0,6,0,10,0.9266247379454927,1.1476817401259058,6
P-GP,OC20,tawa,-122.45745032482698,47.269890460874926,0,0,0,0,1,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.9979166666666667,16.152323580034608,5
P-MKP3,JA21,tawa,-122.4237000776792,47.2352303289375,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,10,0.7573839662447257,22.602853067047075,10
