Site,season,City,Long,Lat,Black.bear,Bobcat,Brush.Rabbit,California.Ground.Squirrel,Coyote,Deer,Domestic.cat,Domestic.dog,Douglas.squirrel,Eastern.gray.squirrel,Elk,Fox.squirrel,Gray.fox,Mountain.lion,Rabbit,Raccoon,Red.fox,Stoat,Striped.Skunk,Virginia.opossum,Weasel..cannot.ID.,Western.Chipmunks,Western.gray.squirrel,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca,J
AB,AP21,oaca,-122.23759206133576,37.79586579832616,0,0,0,0,0,0,180,0,0,0,0,15,0,0,0,12,0,0,0,1,0,0,0,10,0.6593137254901961,22.52335912869017,4.127254901960784,2704.205826857794,60029.39705882353,-3.926322965433388,42
AB,JA21,oaca,-122.23759206133576,37.79586579832616,0,0,0,0,0,0,200,1,0,0,0,70,0,0,0,187,0,0,0,2,0,0,0,10,0.6593137254901961,22.52335912869017,4.127254901960784,2704.205826857794,60029.39705882353,-3.926322965433388,45
AB,JU21,oaca,-122.23759206133576,37.79586579832616,0,0,0,0,0,0,19,0,0,0,0,10,0,0,0,31,0,0,0,0,0,0,0,10,0.6593137254901961,22.52335912869017,4.127254901960784,2704.205826857794,60029.39705882353,-3.926322965433388,30
BT,AP21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2.0165998855180307,2.48,0,151532,1.6648592142670726,21
BT,JA21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,2.0165998855180307,2.48,0,151532,1.6648592142670726,22
BT,JU21,oaca,-122.09740103019818,37.74199827050061,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2.0165998855180307,2.48,0,151532,1.6648592142670726,6
CalT01,AP21,lbca,-117.91630006668773,33.815719290585086,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4632911392405064,23.10863350485992,7.0969113924050635,135.13118313815443,55803.26845637584,-1.0963008857940766,37
CalT01,JU21,lbca,-117.91630006668773,33.815719290585086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4632911392405064,23.10863350485992,7.0969113924050635,135.13118313815443,55803.26845637584,-1.0963008857940766,35
CalT02,AP21,lbca,-117.88108802642428,33.8052705724534,0,0,8,0,11,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0.3928571428571429,23.059885386819484,7.23,0,78140.47959183673,-1.0326762904009863,46
CalT02,JU21,lbca,-117.88108802642428,33.8052705724534,0,0,14,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.3928571428571429,23.059885386819484,7.23,0,78140.47959183673,-1.0326762904009863,31
CalT03,AP21,lbca,-117.90364066179934,33.80272646064966,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,11,0.29411764705882354,22.98395415472779,6.766828644501278,557.0963073584496,59314.05298013245,-1.8665888255665464,38
