Site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness,City,Long,Lat,utmZone,prop_veg,imp_surf,rank_buff,huden2010,med_inc,urb_pca
AB,828,0.9760107012664464,0.572851758500782,2.3411076128750268,7,0.5015702815159647,oaca,-122.23759206133576,37.79586579832616,10,0.6593137254901961,22.52335912869017,4.127254901960784,2704.205826857794,60029.39705882353,-3.926322965433388
BT,13,0.8587409130062867,0.5207100591715976,2.0864197530864197,4,0.6194506283013154,oaca,-122.09740103019818,37.74199827050061,10,1,2.0165998855180307,2.48,0,151532,1.6648592142670726
CalT01,2,0,0,1,2,0,lbca,-117.91630006668773,33.815719290585086,11,0.46329113924050636,23.10863350485992,7.0969113924050635,135.13118313815443,55803.26845637584,-1.0963008857940766
CalT02,64,1.1815250140274298,0.634765625,2.7379679144385025,6,0.6594216658648201,lbca,-117.88108802642428,33.8052705724534,11,0.39285714285714285,23.059885386819484,7.23,0,78140.47959183673,-1.0326762904009865
CalT03,203,0.49425954756908475,0.2530515178723095,1.3387804164906925,4,0.35653289909497066,lbca,-117.90364066179934,33.80272646064966,11,0.29411764705882354,22.983954154727794,6.766828644501278,557.0963073584496,59314.05298013245,-1.8665888255665464
CB,101,1.2744762089852844,0.6171943927065975,2.6122919334186943,8,0.6128935021446786,oaca,-122.18035727643792,37.803142529093726,10,0.9975550122249389,16.24641422834194,2.4214914425427874,568.6646909406038,188351.35696821517,-0.23896796798279066
CR,60,1.7027648210476969,0.7838888888888889,4.627249357326479,9,0.7749616669189202,oaca,-122.14567601162236,37.75473747299067,10,0.9876847290640394,20.389509888220122,4.438128078817734,269.7375870749785,126923.68472906404,-0.23252118527879762
DK,46,0.10473243910508652,0.04253308128544431,1.0444225074037514,3,0.0953315743737563,oaca,-122.20900282254252,37.74296907041338,10,0.5441176470588235,13.614392201834862,7.46,0,53580,-0.007250385627856626
DY,164,1.1404830684983245,0.6316180844735276,2.7145740815502624,6,0.6365157199306889,oaca,-122.18298694516211,37.78612625493866,10,0.8540145985401459,21.510461450272285,4.12,1093.333998774348,118289.66909975669,-1.5502322200600316
ED01,84,0.3650231342355872,0.20975056689342408,1.265423242467719,3,0.33225837540750514,lbca,-117.98770203485851,33.804787626724554,11,0.03787878787878788,22.982501434308663,7.83030303030303,49.97469405171111,53489.72727272727,-1.6307143433893105
ED05,165,0.24444027628601264,0.09373737373737367,1.1034329023629068,5,0.15187928306990311,lbca,-117.92932622641054,33.807315562752066,11,0.8477157360406091,23.127830323875035,6.142081218274112,2056.544725047477,56319,-2.8877067230056572
ED06,97,0.5702965441370216,0.3018386651078756,1.4323336885370683,4,0.41138199803129744,lbca,-117.86499394691326,33.813104579469865,11,0.09511568123393316,22.877147766323024,8.05,2.041586310493573,66707,-1.475038502685102
ED07,1,0,0,1,2,0,lbca,-117.8522994739004,33.813192955781574,11,0.4759493670886076,23.20916905444126,6.845037974683545,553.5917519382184,86612.5493670886,-1.6031958357082554
ELMOD,73,0.4387309104699517,0.22142991180334023,1.2844058809351653,4,0.3164774544098496,lbca,-117.79282699635732,33.79870845016335,11,0.9370277078085643,17.64300028628686,5.121183879093199,136.63467876646598,126768.45340050377,0.08565594920955563
EN,2,0.6931471805599453,0.5,2,3,0.6309297535714574,oaca,-122.20792986879542,37.73048775392695,10,0.18491484184914841,20.61461318051576,7.46,1.1203054383375182,53580,-1.1463768394637428
G-CBP2,188,1.363563977964131,0.6736079674060661,3.0638002773925104,7,0.7007332679908702,tawa,-122.42682678938668,47.1883010270148,10,1,22.25386376645678,10,516.7714187052705,39642,-0.6761214820777686
G-CLP3,507,1.392707955016944,0.6990340363121428,3.3226348512854984,9,0.6338487059458335,tawa,-122.51054008250264,47.24624781414887,10,0.9727463312368972,22.184941311193818,6.623689727463312,412.353522489044,48932.17819706499,-0.5827886057933606
G-FP1,1071,0.9794764281896866,0.45677355909684136,1.8408529568947671,8,0.4710285952056319,tawa,-122.48001311823172,47.24660376310076,10,0.9180672268907563,22.881020642201836,8.47689075630252,418.87423501525905,63154.804621848736,-0.732979045563833
G-IP,201,1.4889389030140967,0.7250315586247865,3.6367809883877937,8,0.7160282571883636,tawa,-122.46304982780435,47.235659943921206,10,0.783157894736842,22.918075050128902,9.875789473684211,301.19218221361325,63699.44,-0.7967326538874875
G-JP,932,0.6243986689035855,0.2957528228554588,1.419955993369581,8,0.30027228772162423,tawa,-122.48980021466647,47.25733785038378,10,0.9410526315789474,22.872133027522935,7.5,843.3582343875032,99935.98315789473,-1.2223383715340117
