locationID,avg_richness,city,Site,utmEast,utmNorth,utmZone,long,lat
2252,2.6,paca,H01-CCH1,389887,3781720,11,-118.19473427204494,34.17062801301575
2305,6.333333333333333,tawa,G-FP1,539350,5232700,10,-122.48001311823172,47.24660376310076
2309,4.666666666666667,tawa,P-OB,535487.875,5240075.5,10,-122.5304601657384,47.31318888282613
2310,7,tawa,P-RP,536875.3125,5238307,10,-122.51225005999778,47.29719932320845
2311,6,tawa,P-STP,538434.5625,5236995.5,10,-122.49173974370127,47.28530888330367
2312,3,paca,H01-GSC1,388140,3783430,11,-118.21390645741332,34.18586047209684
2315,4.75,paca,H01-HFR1,382075,3787650,11,-118.28028507983583,34.22324078580839
2316,5.4,tawa,P-DPV,534489.5625,5240438.5,10,-122.5436402745423,47.3165085016772
2320,5.333333333333333,tawa,P-PCNA2,539001.125,5236057,10,-122.48432986987385,47.27683082960451
2321,5.75,tawa,P-CUP,539988,5235632.5,10,-122.471320086731,47.27295174449351
2322,1.6666666666666667,tawa,P-GP,541039.4375,5235299.5,10,-122.45745032482698,47.269890460874926
2324,4,tawa,P-MCP,542065.02,5233490.25,10,-122.44406301593588,47.253545969918875
2331,4,tawa,P-SCP2,545624.375,5229907.5,10,-122.3973902834904,47.22107090831066
2334,7.6,tawa,P-CCP,551505.375,5225549,10,-122.32022008391868,47.18141910672656
2336,5.25,tawa,P-WBC,553029.125,5224204.5,10,-122.30026973533973,47.16920045659492
2337,1,tawa,P-WWP,554814.6875,5224622,10,-122.27665975935894,47.17281070545192
2338,6.666666666666667,tawa,P-BLP,554358.4375,5223381,10,-122.28283031300816,47.16168229763593
2341,6,tawa,P-RWSR,555692.8125,5197156,10,-122.26845992226572,46.92559930766051
2342,6.4,tawa,P-OLT,555380.3125,5195714,10,-122.2727399501913,46.91265010614948
2346,5.25,tawa,G-SB,535535,5238409,10,-122.52996962188313,47.298191196125245
2347,4.5,tawa,G-VP,536300.4375,5236384,10,-122.5200102255112,47.27992829292994
2349,6,tawa,G-JP,538601.5625,5233888,10,-122.48980021466647,47.25733785038378
2354,5.75,tawa,G-TNC2,538575.5,5231997,10,-122.49030793253216,47.240324138072616
2362,4.25,tawa,G-WLP2,540043.0625,5225041.5,10,-122.47154011345285,47.177650308061786
2364,5.5,tawa,G-CLP3,537040.125,5232645.5,10,-122.51054008250264,47.24624781414887
3025,5.75,paca,H01-WWD1,384098,3786890,11,-118.2582246305454,34.21661561280118
3026,3.75,paca,H01-TMC1,391122,3782270,11,-118.18140606023437,34.17571692711669
3305,2.25,paca,H01-OCC1,386215,3785190,11,-118.23502371495428,34.201521140726356
3329,1,paca,H01-RHR1,393272,3786940,11,-118.15865713228422,34.21804765416623
3376,1.3333333333333333,oaca,HBT,578585.875,4176056.25,10,-122.1082052795166,37.72840774799266
3377,1.75,oaca,BT,579523.4375,4177573.25,10,-122.09740103019818,37.74199827050061
3378,2,oaca,GT,577615.25,4179526.25,10,-122.11884806430687,37.75976297425415
3379,3.4,oaca,HT,577039.375,4181267.5,10,-122.12520031814924,37.775504171738376
3380,4.5,oaca,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
3381,1.3333333333333333,oaca,DK,569689.6875,4177592,10,-122.20900282254252,37.74296907041338
3382,1.6666666666666667,oaca,EN,569795.9375,4176208,10,-122.20792986879542,37.73048775392695
3383,3.6,oaca,AB,567123,4183440,10,-122.23759206133576,37.79586579832616
3384,2.8,oaca,CB,572155,4184290,10,-122.18035727643792,37.803142529093726
3385,2.2,oaca,H9,577839,4177710,10,-122.11650280493086,37.74337553472942
3386,2.2,oaca,H18,577284,4177590,10,-122.12281431345347,37.7423411134739
3387,4,oaca,CR,575257.1875,4178946.75,10,-122.14567601162236,37.75473747299067
3388,3.8,oaca,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
3389,4.2,oaca,WP,575743.9375,4178844.25,10,-122.14016165799896,37.753773534843326
3390,4.333333333333333,oaca,DY,571940,4182400,10,-122.18298694516211,37.78612625493866
3391,3.5,oaca,MA,570794.25,4175410.25,10,-122.19667933091584,37.72322142384811
3393,4,oaca,PER,570553.75,4174456.25,10,-122.19950062871013,37.714642110545945
3397,3.2,paca,H01-AST1,392372,3778100,11,-118.16732756616892,34.13824664174728
3400,4,paca,H01-SPS1,392353,3776560,11,-118.16734266948976,34.124358734572354
3401,1,paca,H01-FIR2,387970,3781990,11,-118.21556469284234,34.17285827499284
