Site,season,City,Long,Lat,Black bear,Bobcat,Brush Rabbit,California Ground Squirrel,Coyote,Deer,Domestic cat,Domestic dog,Douglas squirrel,Eastern gray squirrel,Elk,Fox squirrel,Gray fox,Mountain lion,Rabbit,Raccoon,Red fox,Stoat,Striped Skunk,Virginia opossum,Weasel (cannot ID),Western Chipmunks,Western gray squirrel
H01-CCH1,AP21,paca,-118.19473427204494,34.17062801301575,1,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-OXY1,JA21,paca,-118.20939813219788,34.126927657671985,1,0,0,0,1,0,0,1,0,0,0,43,0,0,17,211,0,0,1,0,0,0,0
P-OLT,JU21,tawa,-122.2727399501913,46.91265010614948,2,2,0,0,1,34,0,0,9,0,2,0,0,0,0,7,0,0,0,12,0,68,0
P-RWSR,OC20,tawa,-122.26845992226572,46.92559930766051,1,0,0,0,29,19,0,0,0,0,19,0,0,0,0,5,0,0,1,0,0,0,0
H01-BEA2,AP21,paca,-118.23860893352784,34.18840910560693,0,11,0,4,4,5,0,0,0,0,0,4,0,0,30,0,0,0,1,0,0,0,0
H01-BEA2,JU21,paca,-118.23860893352784,34.18840910560693,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H01-BEA2,OC20,paca,-118.23860893352784,34.18840910560693,0,2,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-HFR1,AP21,paca,-118.28028507983583,34.22324078580839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
H01-HFR1,JU21,paca,-118.28028507983583,34.22324078580839,0,4,0,0,4,9,1,1,0,0,0,1,10,1,0,0,0,0,1,0,0,0,11
H01-HFR1,OC20,paca,-118.28028507983583,34.22324078580839,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53
H01-HNP1,OC20,paca,-118.17428217013232,34.19328012284418,0,4,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-TMC1,AP21,paca,-118.18140606023437,34.17571692711669,0,1,0,0,20,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
H01-TMC1,JA21,paca,-118.18140606023437,34.17571692711669,0,6,0,0,82,84,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
H01-TMC1,JU21,paca,-118.18140606023437,34.17571692711669,0,1,0,0,45,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
H01-TMC1,OC20,paca,-118.18140606023437,34.17571692711669,0,2,0,0,37,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H01-WAV1,JA21,paca,-118.31108646234128,34.24302479928483,0,4,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
H01-WWD1,JA21,paca,-118.2582246305454,34.21661561280118,0,1,0,0,0,0,0,171,0,0,0,0,1,0,36,0,0,0,1,0,0,0,0
H01-WWD1,OC20,paca,-118.2582246305454,34.21661561280118,0,2,0,0,7,5,0,103,0,0,0,1,6,0,13,0,0,0,0,0,0,0,0
HT,JA21,oaca,-122.12520031814924,37.775504171738376,0,11,85,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,OC20,oaca,-122.12520031814924,37.775504171738376,0,1,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC02,AP21,lbca,-117.7253524420718,33.76796313242066,0,4,17,1,6,1,0,0,0,0,0,0,53,0,0,0,0,0,4,5,0,0,0
IRC02,JU21,lbca,-117.7253524420718,33.76796313242066,0,2,37,2,8,2,0,0,0,0,0,0,19,0,0,0,0,0,12,0,0,0,0
IRC03,AP21,lbca,-117.70310242313036,33.76085865201455,0,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
IRC04,JU21,lbca,-117.68302581073524,33.75233115011393,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRC07,OC20,lbca,-117.6474829372618,33.719440685685356,0,6,19,0,0,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
MT,AP21,oaca,-122.1403056978608,37.7922600644958,0,1,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,JA21,oaca,-122.1403056978608,37.7922600644958,0,4,2,0,14,3,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P-OLT,OC20,tawa,-122.2727399501913,46.91265010614948,0,2,0,0,10,30,2,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0
P-RWSR,AP21,tawa,-122.26845992226572,46.92559930766051,0,1,0,0,16,22,0,0,1,0,7,0,0,0,6,9,0,0,0,0,0,0,0
P-RWSR,JU21,tawa,-122.26845992226572,46.92559930766051,0,2,0,0,12,41,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
P-TE2,AP21,tawa,-122.27951048782658,46.92219579840345,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PWETZ01,JU21,lbca,-117.783433805852,33.793357122951015,0,2,29,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWETZ02,AP21,lbca,-117.77695209834594,33.788527901882254,0,7,3,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PWETZ02,JU21,lbca,-117.77695209834594,33.788527901882254,0,4,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,AP21,oaca,-122.14016165799896,37.753773534843326,0,1,0,0,5,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WP,JA21,oaca,-122.14016165799896,37.753773534843326,0,2,0,0,5,1,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0
WP,OC20,oaca,-122.14016165799896,37.753773534843326,0,2,0,0,16,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
CalT02,AP21,lbca,-117.88108802642428,33.8052705724534,0,0,8,0,11,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
CalT02,JU21,lbca,-117.88108802642428,33.8052705724534,0,0,14,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ED05,JU21,lbca,-117.92932622641054,33.807315562752066,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED07,AP21,lbca,-117.8522994739004,33.813192955781574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELMOD,AP21,lbca,-117.79282699635732,33.79870845016335,0,0,9,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ELMOD,JU21,lbca,-117.79282699635732,33.79870845016335,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELMOD,OC20,lbca,-117.79282699635732,33.79870845016335,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,AP21,oaca,-122.12520031814924,37.775504171738376,0,0,82,0,2,1,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
HT,JU21,oaca,-122.12520031814924,37.775504171738376,0,0,87,0,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
IRC01,JU21,lbca,-117.74100210763476,33.77069310192292,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
