Site,season,Species,value,City,Long,Lat
H01-CCH1,AP21,Black bear,1,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Bobcat,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Brush Rabbit,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,California Ground Squirrel,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Coyote,2,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Deer,15,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Domestic cat,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Domestic dog,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Douglas squirrel,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Eastern gray squirrel,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Elk,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Fox squirrel,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Gray fox,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Mountain lion,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Rabbit,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Raccoon,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Red fox,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Stoat,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Striped Skunk,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Virginia opossum,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Weasel (cannot ID),0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Western Chipmunks,0,paca,-118.19473427204494,34.17062801301575
H01-CCH1,AP21,Western gray squirrel,0,paca,-118.19473427204494,34.17062801301575
H01-OXY1,JA21,Black bear,1,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Bobcat,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Brush Rabbit,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,California Ground Squirrel,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Coyote,1,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Deer,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Domestic cat,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Domestic dog,1,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Douglas squirrel,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Eastern gray squirrel,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Elk,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Fox squirrel,43,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Gray fox,0,paca,-118.20939813219788,34.126927657671985
H01-OXY1,JA21,Mountain lion,0,paca,-118.20939813219788,34.126927657671985
