Site,season,N,shannon.di,simpson.di,inv.simpson.di,City,Long,Lat
H01-HFR1,JU21,43,1.8945006967236175,0.8166576527852893,5.454277286135693,paca,-118.28028507983583,34.22324078580839
P-CCP,OC20,152,1.781855710232139,0.7950138504155124,4.878378378378378,tawa,-122.32022008391868,47.18141910672656
P-STP,JU21,64,1.7073487737710444,0.7626953125,4.2139917695473255,tawa,-122.49173974370127,47.28530888330367
P-RWSR,JA21,68,1.6510610039397444,0.7759515570934256,4.463320463320463,tawa,-122.26845992226572,46.92559930766051
P-OLT,AP21,42,1.629273390807095,0.7777777777777778,4.5,tawa,-122.2727399501913,46.91265010614948
P-RWSR,AP21,62,1.6027585369079795,0.7637877211238293,4.233480176211454,tawa,-122.26845992226572,46.92559930766051
G-IP,AP21,94,1.6006214257815736,0.776595744680851,4.476190476190476,tawa,-122.46304982780435,47.235659943921206
G-FP1,JU21,147,1.5981083080585978,0.7809708917580638,4.565603211493767,tawa,-122.48001311823172,47.24660376310076
IRC03,AP21,10,1.5571130980576458,0.78,4.545454545454545,lbca,-117.70310242313036,33.76085865201455
P-RP,OC20,393,1.552247831683309,0.7253786039404593,3.6413768713898387,tawa,-122.51225005999778,47.29719932320845
P-TE2,JU21,38,1.5494317230549384,0.7506925207756232,4.011111111111111,tawa,-122.27951048782658,46.92219579840345
P-RP,JU21,83,1.5256026135463832,0.7179561619973871,3.5455481214616573,tawa,-122.51225005999778,47.29719932320845
P-CUP,AP21,129,1.5207611465741158,0.7172645874646957,3.536875664187035,tawa,-122.471320086731,47.27295174449351
G-TNC2,JU21,126,1.5153406189400387,0.7431342907533385,3.893084845512507,tawa,-122.49030793253216,47.240324138072616
P-CCP,AP21,215,1.4850549824565598,0.6862087614926988,3.1868321268528095,tawa,-122.32022008391868,47.18141910672656
H01-BEA2,AP21,59,1.4826986075285005,0.6854352197644356,3.178995433789954,paca,-118.23860893352784,34.18840910560693
P-BLP,JA21,67,1.4782397936165403,0.697705502339051,3.308032424465733,tawa,-122.28283031300816,47.16168229763593
IRC02,JU21,82,1.4779192645050698,0.7099940511600238,3.448205128205128,lbca,-117.7253524420718,33.76796313242066
P-OLT,JU21,137,1.4586894155423324,0.6767542223879801,3.093621229602769,tawa,-122.2727399501913,46.91265010614948
P-CUP,OC20,73,1.4541005482411766,0.7427284668793395,3.8869438366156093,tawa,-122.471320086731,47.27295174449351
P-DPV,AP21,64,1.4518477811927581,0.66015625,2.942528735632184,tawa,-122.5436402745423,47.3165085016772
P-WBC,AP21,54,1.4391977435701595,0.6989026063100137,3.3211845102505695,tawa,-122.30026973533973,47.16920045659492
H01-DEB1,AP21,90,1.4344063003744714,0.7259259259259259,3.6486486486486487,paca,-118.19955983106364,34.09682057580613
P-OB,JU21,31,1.4089146735980722,0.6305931321540063,2.7070422535211267,tawa,-122.5304601657384,47.31318888282613
G-CBP2,AP21,101,1.3817641879388907,0.7005195569061857,3.33911620294599,tawa,-122.42682678938668,47.1883010270148
P-RWSR,OC20,74,1.3636941494189943,0.7096420745069394,3.4440251572327045,tawa,-122.26845992226572,46.92559930766051
H01-OXY1,AP21,37,1.3589120848756124,0.704163623082542,3.3802469135802466,paca,-118.20939813219788,34.126927657671985
P-CCP,JA21,196,1.3482865217982465,0.6753436068304873,3.080179602309173,tawa,-122.32022008391868,47.18141910672656
IRC02,AP21,91,1.3407694017507392,0.6144185484844825,2.593485750078296,lbca,-117.7253524420718,33.76796313242066
CR,JA21,5,1.3321790402101223,0.72,3.571428571428571,oaca,-122.14567601162236,37.75473747299067
P-BLP,JU21,26,1.3207225900813802,0.6834319526627219,3.1588785046728973,tawa,-122.28283031300816,47.16168229763593
DY,JU21,61,1.309041831885659,0.6906745498521902,3.232841007819288,oaca,-122.18298694516211,37.78612625493866
P-PCNA2,JA21,59,1.3047380512239353,0.6722206262568227,3.050832602979842,tawa,-122.48432986987385,47.27683082960451
P-OLT,OC20,53,1.2932965402800924,0.6251334994660022,2.667616334283001,tawa,-122.2727399501913,46.91265010614948
P-WBC,JA21,72,1.2912429120053048,0.6751543209876543,3.0783847980997625,tawa,-122.30026973533973,47.16920045659492
G-CBP2,JU21,87,1.2827830629928074,0.612498348526886,2.5806341629730656,tawa,-122.42682678938668,47.1883010270148
CB,JA21,28,1.2783131927042202,0.6479591836734695,2.840579710144928,oaca,-122.18035727643792,37.803142529093726
CR,JU21,7,1.277034259466139,0.6938775510204083,3.266666666666667,oaca,-122.14567601162236,37.75473747299067
P-PCNA2,JU21,24,1.258317895502333,0.638888888888889,2.7692307692307696,tawa,-122.48432986987385,47.27683082960451
G-CLP3,AP21,107,1.2535975672782733,0.6592715521006202,2.934888490130736,tawa,-122.51054008250264,47.24624781414887
P-CCP,JU21,249,1.2511248852970558,0.6229576942307382,2.6522222697523206,tawa,-122.32022008391868,47.18141910672656
P-STP,JA21,53,1.2437692047568414,0.6436454254182984,2.8061938061938063,tawa,-122.49173974370127,47.28530888330367
WP,OC20,47,1.2418143633840324,0.6518786781349026,2.8725617685305593,oaca,-122.14016165799896,37.753773534843326
CalT02,AP21,26,1.2409479127325915,0.6834319526627219,3.1588785046728973,lbca,-117.88108802642428,33.8052705724534
P-CUP,JA21,79,1.2188936469928138,0.6197724723601987,2.6300042140750106,tawa,-122.471320086731,47.27295174449351
MT,OC20,62,1.2058825748657138,0.6701352757544226,3.0315457413249214,oaca,-122.1403056978608,37.7922600644958
G-SB,AP21,158,1.2058006700755093,0.6389200448646051,2.7694697137785664,tawa,-122.52996962188313,47.298191196125245
G-SERA,AP21,174,1.192783467142549,0.6313251420266878,2.712417129546676,tawa,-122.49118989961514,47.20279106036013
P-WBC,JU21,34,1.1790715661778834,0.6487889273356402,2.8472906403940885,tawa,-122.30026973533973,47.16920045659492
H01-OCC1,JA21,18,1.1679373677256644,0.6234567901234568,2.6557377049180326,paca,-118.23502371495428,34.201521140726356
P-CUP,JU21,130,1.1673932547479584,0.6397633136094674,2.775952693823916,tawa,-122.471320086731,47.27295174449351
G-SERA,JU21,152,1.1533367740704927,0.623009002770083,2.652583237657864,tawa,-122.49118989961514,47.20279106036013
P-STP,OC20,24,1.1523610730564942,0.6423611111111112,2.796116504854369,tawa,-122.49173974370127,47.28530888330367
P-PCNA2,OC20,37,1.146655391591082,0.6048210372534697,2.5304990757855825,tawa,-122.48432986987385,47.27683082960451
P-DPV,JU21,40,1.1302742002374315,0.6487499999999999,2.8469750889679712,tawa,-122.5436402745423,47.3165085016772
P-BLP,AP21,101,1.1296888701433943,0.5285756298402117,2.1212310251611557,tawa,-122.28283031300816,47.16168229763593
MA,AP21,16,1.1274832349932322,0.5625,2.2857142857142856,oaca,-122.19667933091584,37.72322142384811
CB,JU21,22,1.1178039622625855,0.615702479338843,2.602150537634409,oaca,-122.18035727643792,37.803142529093726
IRC07,OC20,60,1.1161165921712708,0.6183333333333333,2.6200873362445414,lbca,-117.6474829372618,33.719440685685356
P-MKP3,AP21,27,1.113457040558234,0.6063100137174211,2.5400696864111496,tawa,-122.4237000776792,47.2352303289375
MT,JA21,66,1.0963784502973517,0.5431588613406795,2.1889447236180906,oaca,-122.1403056978608,37.7922600644958
G-WLP2,AP21,52,1.0956603804899014,0.5894970414201184,2.4360360360360365,tawa,-122.47154011345285,47.177650308061786
G-WLP2,JA21,89,1.0916496831082847,0.5777048352480747,2.368011958146487,tawa,-122.47154011345285,47.177650308061786
G-IP,JA21,75,1.0901162175251715,0.5909333333333333,2.444589308996089,tawa,-122.46304982780435,47.235659943921206
P-SCP2,JU21,94,1.086776535640359,0.6136260751471254,2.588166373755126,tawa,-122.3973902834904,47.22107090831066
G-CLP3,JU21,179,1.0824576396420968,0.5080365781342655,2.0326714457907764,tawa,-122.51054008250264,47.24624781414887
