Site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness,City,Long,Lat
P-CCP,812,1.7483831210903749,0.7923936518721638,4.816808392507524,11,0.7291323941141067,tawa,-122.32022008391868,47.18141910672656
P-OLT,301,1.7409308138493713,0.7786669021313231,4.518077095696405,11,0.7260245406037628,tawa,-122.2727399501913,46.91265010614948
CR,60,1.7027648210476967,0.7838888888888889,4.627249357326479,9,0.7749616669189202,oaca,-122.14567601162236,37.75473747299067
P-RP,476,1.6639663790029162,0.76456464938916735,4.2474505098980195,9,0.7573037349783367,tawa,-122.51225005999778,47.29719932320845
P-STP,141,1.6008304602375545,0.7463407273275993,3.9422962522308147,9,0.7285693400436578,tawa,-122.49173974370127,47.28530888330367
IRC03,12,1.5607104090414063,0.7777777777777777,4.499999999999999,6,0.8710490642551527,lbca,-117.70310242313036,33.76085865201455
P-RWSR,275,1.556234294584713,0.7404429752066116,3.8527179173671615,11,0.6490001094870879,tawa,-122.26845992226572,46.92559930766051
P-CUP,411,1.5128068115396025,0.7414590252248092,3.8678588601653194,8,0.7275062949437431,tawa,-122.471320086731,47.27295174449351
IRC02,173,1.511541644419025,0.7116174947375455,3.4676167303904526,9,0.6879322487151156,lbca,-117.7253524420718,33.76796313242066
IRC07,78,1.5091088548655942,0.7337278106508877,3.755555555555557,8,0.7257279536920718,lbca,-117.6474829372618,33.719440685685356
G-IP,201,1.4889389030140967,0.7250315586247865,3.6367809883877937,8,0.7160282571883636,tawa,-122.46304982780435,47.235659943921206
H01-BEA2,130,1.483383336113191,0.7196449704142012,3.566905867454622,8,0.7133565942492757,paca,-118.23860893352784,34.18840910560693
P-BLP,194,1.4735707035143668,0.676320544159847,3.0894762764734853,10,0.6399636252305821,tawa,-122.28283031300816,47.16168229763593
P-WBC,214,1.4692553134444537,0.7139924884269369,3.4964116659031914,9,0.6686869101135255,tawa,-122.30026973533973,47.16920045659492
P-PCNA2,120,1.4526112441004957,0.6718055555555555,3.046974185357596,9,0.6611118677097416,tawa,-122.48432986987385,47.27683082960451
H01-OCC1,41,1.40933634550591,0.7305175490779298,3.7108167770419422,6,0.7865655908117486,paca,-118.23502371495428,34.201521140726356
